game_id,season,game_date,home_team,away_team,home_win,margin,home_ppg,away_ppg,home_papg,away_papg,ppg_diff,papg_diff,home_win_rate,away_win_rate,win_rate_diff,home_rest_days,away_rest_days,rest_diff,home_series_wins,away_series_wins,series_wins_diff,is_finals,home_court,recent_win_rate_diff,recent_margin_diff,fg_pct_diff,fg3_pct_diff,reb_diff,ast_diff,tov_diff,h2h_win_rate_diff
42100235,2021-22,2022-05-11,MEM,GSW,1,39,112.0,116.77777777777777,111.6,109.11111111111111,-4.7777777777777715,-2.48888888888888,0.5,0.7777777777777778,-0.2777777777777778,1.0,1.0,0.0,1,3,-2,0,1,-0.4,-10.8,-0.046999999999999986,0.012800000000000089,-1.0,-6.399999999999999,1.8000000000000007,-0.5
42100206,2021-22,2022-05-12,PHI,MIA,0,-9,105.81818181818181,107.9,104.63636363636364,98.2,-2.0818181818181927,-6.436363636363637,0.5454545454545454,0.7,-0.15454545454545454,1.0,1.0,0.0,2,3,-1,0,1,-0.19999999999999996,-14.8,-0.005799999999999972,0.02679999999999999,-4.800000000000004,-2.8000000000000007,-2.0,-0.19999999999999996
42100226,2021-22,2022-05-12,DAL,PHX,1,27,104.0909090909091,111.18181818181819,104.45454545454545,106.9090909090909,-7.0909090909090935,2.4545454545454533,0.5454545454545454,0.6363636363636364,-0.09090909090909094,1.0,1.0,0.0,2,3,-1,0,1,-0.19999999999999996,-15.2,-0.07139999999999991,-0.04980000000000001,-10.399999999999999,-8.400000000000002,2.799999999999999,-0.19999999999999996
42100216,2021-22,2022-05-13,MIL,BOS,0,-13,105.7,108.44444444444444,99.8,104.88888888888889,-2.74444444444444,5.088888888888889,0.7,0.6666666666666666,0.033333333333333326,1.0,1.0,0.0,3,2,1,0,1,0.19999999999999996,-5.6,-0.011400000000000021,-0.046599999999999975,6.400000000000006,-4.799999999999997,0.5999999999999996,0.19999999999999996
42100236,2021-22,2022-05-13,GSW,MEM,1,14,114.6,114.0,111.6,110.0909090909091,0.5999999999999943,-1.5090909090909008,0.7,0.5454545454545454,0.15454545454545454,1.0,1.0,0.0,3,2,1,0,1,0.19999999999999996,-4.0,0.04479999999999995,-0.01880000000000004,1.0,2.6000000000000014,-6.199999999999999,0.19999999999999996
42100217,2021-22,2022-05-15,BOS,MIL,1,28,108.4,104.72727272727273,103.9,100.54545454545455,3.672727272727272,-3.354545454545459,0.7,0.6363636363636364,0.0636363636363636,2.0,2.0,0.0,3,3,0,0,1,0.19999999999999996,15.6,0.03259999999999996,0.07599999999999996,-6.600000000000001,6.400000000000002,0.7999999999999989,0.0
42100227,2021-22,2022-05-15,PHX,DAL,0,-33,109.08333333333333,104.83333333333333,107.41666666666667,102.91666666666667,4.25,-4.5,0.5833333333333334,0.5833333333333334,0.0,2.0,2.0,0.0,3,3,0,0,1,-0.19999999999999996,1.6,0.05299999999999999,0.0378,8.600000000000001,6.199999999999999,-5.800000000000001,0.0
42100301,2021-22,2022-05-17,MIA,BOS,1,11,107.0909090909091,108.45454545454545,97.45454545454545,101.81818181818181,-1.3636363636363598,4.36363636363636,0.7272727272727273,0.7272727272727273,0.0,2.0,2.0,0.0,0,0,0,0,1,0.0,-2.4000000000000004,0.021799999999999986,-0.041800000000000004,-0.6000000000000014,-3.1999999999999993,-1.8000000000000007,0.0
42100311,2021-22,2022-05-18,GSW,DAL,1,25,114.18181818181819,106.23076923076923,110.18181818181819,101.92307692307692,7.951048951048961,-8.258741258741267,0.7272727272727273,0.6153846153846154,0.11188811188811187,1.0,1.0,0.0,0,0,0,0,1,-0.20000000000000007,-9.200000000000001,-0.0010000000000000564,-0.048199999999999965,11.600000000000001,8.799999999999997,-7.4,0.0
42100302,2021-22,2022-05-19,MIA,BOS,0,-25,108.0,108.33333333333333,98.25,103.16666666666667,-0.3333333333333286,4.916666666666671,0.75,0.6666666666666666,0.08333333333333337,1.0,1.0,0.0,1,0,1,0,1,0.0,-1.5999999999999996,-0.0007999999999999674,-0.08200000000000002,0.20000000000000284,-4.400000000000002,-0.5999999999999996,1.0
42100312,2021-22,2022-05-20,GSW,DAL,1,9,114.0,104.85714285714286,108.25,102.64285714285714,9.142857142857139,-5.607142857142861,0.75,0.5714285714285714,0.1785714285714286,1.0,1.0,0.0,1,0,1,0,1,0.20000000000000007,3.5999999999999996,0.04379999999999995,0.0048000000000000265,11.600000000000001,10.4,-5.799999999999999,1.0
42100303,2021-22,2022-05-21,BOS,MIA,0,-6,109.76923076923077,107.53846153846153,103.07692307692308,100.46153846153847,2.2307692307692406,-2.615384615384613,0.6923076923076923,0.6923076923076923,0.0,1.0,1.0,0.0,1,1,0,0,1,0.0,6.0,-0.015000000000000124,0.09419999999999995,-0.7999999999999972,3.599999999999998,1.4000000000000004,0.0
42100313,2021-22,2022-05-22,DAL,GSW,0,-9,105.66666666666667,114.92307692307692,104.2,108.92307692307692,-9.256410256410248,4.723076923076917,0.5333333333333333,0.7692307692307693,-0.23589743589743595,1.0,1.0,0.0,0,2,-2,0,1,-0.4,-3.2,-0.02579999999999999,0.0038000000000000256,-14.0,-10.200000000000001,5.000000000000002,-1.0
